Latitude,Longitude,MedInc
34.04,-118.17,3.5938
35.33,-119.1,6.759
36.88,-121.6,4.7813
36.21,-119.35,1.6378
34.04,-118.33,3.6373
33.82,-117.95,4.3269
37.47,-122.15,3.0521
39.48,-121.79,3.3929
34.96,-120.44,2.9167
33.97,-118.39,6.235
37.78,-122.42,2.1516
32.85,-117.2,4.7891
33.82,-117.89,5.0605
39.72,-121.82,1.5064
35.54,-117.84,5.0762
33.83,-117.91,1.119
34.05,-118.39,4.0153
32.68,-117.08,1.324
37.9,-122.05,4.6528
34.15,-117.2,7.732
37.93,-122.08,5.0761
38.68,-121.38,4.0673
40.95,-124.16,3.1406
40.59,-124.15,2.0938
34.01,-118.43,6.4232
34.1,-117.84,3.8465
40.05,-123.78,2.1864
37.26,-121.0,1.7062
33.61,-117.89,5.1923
33.88,-117.89,5.7519
32.73,-117.02,4.7952
33.69,-117.99,3.7479
32.95,-117.26,5.8343
34.29,-118.72,6.0368
37.47,-122.14,3.7917
38.39,-121.37,6.2575
34.09,-118.34,2.4432
33.99,-118.28,2.5848
33.03,-117.27,4.87
34.28,-117.17,7.1997
34.0,-118.33,0.9304
37.95,-122.34,2.875
36.86,-121.45,3.1375
33.87,-118.37,3.5048
33.93,-118.25,1.1346
33.39,-117.14,3.8547
37.56,-122.31,4.2955
33.92,-118.22,2.1366
37.47,-122.13,5.0893
33.92,-118.27,1.7262
38.43,-122.68,6.0774
33.94,-118.26,1.65
38.72,-121.71,2.8882
34.12,-117.66,8.8204
37.0,-122.04,2.9712
34.07,-118.21,2.3859
37.69,-121.78,3.3618
37.02,-120.06,3.5258
32.81,-116.97,2.1422
33.22,-117.22,1.9571
37.48,-122.25,7.1621
33.98,-118.27,1.3042
37.37,-122.07,4.8021
37.79,-122.44,8.0755
38.53,-122.94,3.7143
34.07,-117.73,2.2596
37.33,-121.94,4.3
36.77,-119.77,2.0564
33.71,-117.88,4.1
40.12,-123.82,2.087
37.89,-122.53,5.9073
37.28,-122.03,9.8937
36.32,-119.7,2.6477
33.85,-116.53,2.9647
35.35,-119.02,1.983
37.76,-122.49,3.5302
38.58,-121.3,2.8966
34.13,-118.32,4.0833
36.91,-119.77,5.3272
38.11,-122.6,3.8068
33.77,-118.2,1.2864
33.81,-117.94,4.5714
32.97,-116.67,5.359
34.16,-118.36,2.4835
33.77,-118.01,5.8362
38.01,-121.8,2.2532
33.86,-118.07,3.425
33.82,-117.99,2.8625
38.58,-121.43,3.9167
33.9,-118.09,3.1441
35.28,-120.7,4.6071
34.01,-118.25,1.4464
33.93,-118.36,3.0132
33.99,-118.33,3.2083
33.82,-118.13,5.1795
37.8,-122.2,4.9559
34.24,-118.63,4.8333
39.17,-123.73,2.375
36.57,-119.61,1.5833
32.72,-117.14,2.2804
33.37,-117.25,1.995
38.75,-120.54,3.9812
37.84,-122.02,7.7072
36.79,-119.79,1.5122
37.78,-122.44,2.8569
36.7,-119.81,1.2404
41.74,-122.64,3.3095
33.91,-118.14,3.0465
34.52,-120.39,2.5667
38.44,-122.72,0.9437
40.75,-124.17,4.8516
33.61,-117.66,7.1497
39.15,-121.07,2.4726
38.7,-122.52,0.536
37.53,-121.98,4.6
33.83,-118.11,4.918
37.8,-122.23,1.9375
33.9,-117.85,5.2037
37.94,-122.53,4.7344
41.77,-124.21,2.5795
34.02,-118.32,2.0304
33.95,-118.02,4.6184
35.82,-118.7,2.3937
32.74,-117.24,4.0268
33.95,-118.37,3.111
37.97,-121.98,5.9617
36.98,-121.88,4.8953
32.92,-116.84,3.1607
34.07,-117.89,3.9808
37.59,-120.94,2.3152
38.9,-120.3,0.9227
34.17,-118.3,3.0687
33.92,-118.12,2.5893
41.69,-122.56,2.4107
34.22,-118.4,3.6442
37.76,-122.45,5.6235
38.92,-121.22,4.4958
33.93,-118.21,1.9668
33.15,-117.2,3.0139
38.72,-121.47,4.0227
41.86,-122.33,2.234
34.15,-118.25,3.6875
37.93,-121.22,4.75
33.8,-117.98,5.4876
38.63,-121.44,1.3462
34.08,-118.21,1.9495
33.91,-118.35,4.3187
32.99,-117.01,8.4284
33.98,-118.15,2.3
33.79,-118.13,3.7716
34.41,-119.7,2.8042
34.17,-118.62,6.8482
33.83,-118.1,5.3735
33.88,-118.36,2.65
34.07,-118.07,3.125
36.76,-119.79,1.175
36.22,-119.33,3.5039
40.2,-122.38,2.8447
34.08,-118.05,2.0433
40.88,-124.1,2.0657
37.66,-122.44,3.1927
38.25,-122.0,4.9222
41.5,-121.76,1.0667
37.56,-122.29,5.3683
34.04,-118.22,1.4189
34.1,-118.35,2.6458
38.32,-122.48,3.1129
34.16,-119.19,3.9722
33.72,-116.37,3.0021
33.87,-118.38,5.7415
34.11,-118.29,12.9591
34.19,-119.2,5.0016
37.54,-121.97,4.6349
38.42,-120.97,4.3029
32.95,-117.26,5.6582
33.97,-118.26,1.55
33.68,-116.3,2.8882
36.56,-119.64,2.0658
34.15,-117.71,7.9068
37.37,-122.09,6.8374
34.43,-119.8,5.6604
37.67,-122.45,4.4286
37.01,-122.02,10.0968
34.09,-117.29,1.1806
36.75,-119.76,2.19
34.17,-118.43,4.4464
38.44,-122.86,3.4471
32.91,-117.15,4.9464
34.3,-118.51,7.5078
37.68,-121.73,5.4496
33.75,-117.83,4.9957
32.79,-117.06,9.6023
37.35,-122.03,3.5154
34.08,-117.87,5.6015
33.82,-117.91,3.7014
33.95,-118.23,2.2391
37.53,-122.04,3.9667
33.86,-117.97,3.6006
33.78,-117.99,3.1049
38.05,-122.14,3.2891
38.01,-121.89,4.0972
33.63,-114.58,3.3438
37.76,-122.14,5.5701
34.07,-117.95,4.1172
38.44,-122.74,2.6576
37.7,-121.93,4.4087
36.34,-119.34,4.0144
39.52,-121.36,2.3917
35.35,-119.01,1.9125
36.71,-119.72,3.0179
37.44,-122.13,5.9277
36.69,-119.69,2.1563
34.11,-118.59,6.4504
33.98,-118.24,2.125
33.96,-118.43,8.7819
32.71,-117.24,6.6661
37.68,-120.99,2.6932
32.8,-116.86,4.875
32.96,-117.12,6.0175
34.02,-118.5,2.9934
32.94,-117.24,5.2648
38.35,-121.94,4.412
33.99,-118.19,3.3869
33.71,-117.98,4.4766
37.4,-121.9,3.7622
37.78,-122.47,4.0652
37.15,-122.13,3.9423
33.73,-117.9,3.2639
37.79,-122.42,2.6607
34.23,-118.46,3.0187
33.82,-117.97,3.7655
34.0,-118.44,4.1083
34.02,-118.24,1.8485
34.28,-118.74,5.9024
33.95,-118.12,5.752000000000001
37.34,-121.96,3.4375
34.0,-118.33,4.2917
33.89,-118.27,4.4659
34.22,-118.22,7.0059
34.44,-119.67,5.2888
33.99,-118.46,4.0598
33.91,-118.35,4.0775
37.67,-120.96,2.9219
37.09,-119.4,3.3269
36.99,-120.7,2.9271
33.84,-118.31,3.625
34.07,-118.1,2.5964
34.12,-117.28,1.3571
34.05,-117.17,4.2059
34.27,-119.24,3.2792
34.12,-118.09,7.8347
33.96,-118.29,1.5294
33.96,-118.22,2.8
34.03,-117.32,3.9024
37.99,-122.49,6.994
34.26,-118.52,3.7816
32.75,-117.23,3.1389
32.7,-117.09,1.4583
32.78,-115.57,4.0375
37.81,-122.25,3.125
37.77,-122.42,1.375
37.93,-121.94,7.5695
33.91,-118.23,2.1734
37.92,-122.5,6.1632
34.15,-116.33,1.5489
33.03,-117.05,4.3571
38.64,-121.44,1.0398
37.23,-120.25,2.1845
33.89,-118.25,2.4537
38.0,-122.26,5.2375
32.8,-117.13,3.9732
33.87,-117.92,2.1991
34.47,-119.67,4.9757
37.82,-122.24,6.155
38.54,-122.48,4.2096
33.98,-118.22,2.5352
33.85,-116.52,3.4886
32.76,-117.12,2.3594
36.79,-119.63,4.526
37.33,-121.85,2.8024
37.54,-122.03,4.8214
33.72,-116.29,3.1771
34.21,-116.22,2.2083
33.88,-118.24,2.4821
37.27,-121.8,6.223
36.8,-119.71,3.0
39.34,-123.81,3.1563
33.79,-118.17,1.55
32.82,-117.25,7.8013
37.36,-120.63,4.0694
33.84,-117.82,10.1299
35.73,-117.87,4.1518
32.8,-117.14,3.9417
38.13,-120.26,4.0583
38.12,-120.55,2.5
33.93,-118.3,3.2024
39.73,-121.83,2.0064
37.6,-120.92,3.7611
37.37,-120.5,2.4012
34.09,-117.73,2.4375
36.62,-121.92,2.5263
34.26,-119.25,2.67
33.73,-118.02,5.5599
37.97,-121.27,1.1141
33.79,-117.83,2.9312
33.93,-118.07,4.125
34.25,-118.27,5.0234
37.99,-121.77,5.4409
37.95,-122.34,3.2833
33.49,-117.12,3.9963
32.71,-117.16,1.0918
34.06,-118.12,3.1892
37.23,-121.97,4.6065
34.25,-118.58,5.521
37.84,-122.21,7.0548
32.85,-117.23,6.3955
32.73,-117.17,1.815
37.31,-121.81,3.1382
32.56,-117.06,1.7301
34.02,-117.6,5.2849
32.76,-117.12,2.0673
37.93,-122.32,2.675
33.67,-116.18,2.2141
34.89,-120.42,5.0099
33.99,-118.31,2.0915
33.9,-118.21,2.0817
33.99,-118.34,4.8125
36.91,-121.75,1.6875
34.06,-118.34,3.7167
34.52,-118.22,6.5538
34.0,-117.88,3.6308
36.83,-119.84,6.8645
35.32,-119.05,3.4827
37.78,-122.46,3.4605
34.16,-118.27,2.9148
33.64,-117.66,6.7079
32.81,-116.99,4.2386
37.38,-122.05,4.072
37.35,-120.43,5.9378
34.11,-117.83,4.9844
34.07,-117.98,2.9107
34.21,-118.59,5.0462
37.16,-121.72,4.7386
37.3,-121.96,4.3081
37.66,-121.03,2.1528
32.77,-117.18,3.4
34.08,-118.39,3.5114
36.32,-119.68,2.5833
33.92,-118.23,1.6437
33.9,-118.24,2.375
32.61,-117.03,5.1538
37.87,-122.28,2.8676
36.78,-119.81,3.0
37.53,-122.33,6.7042
34.0,-117.68,5.7338
33.97,-118.17,2.4049
33.81,-118.11,3.9722
33.79,-117.99,3.1801
34.56,-118.21,4.7097
37.78,-122.27,5.2601
33.91,-118.14,3.0703
37.33,-120.46,6.3215
37.9,-122.3,3.4091
34.03,-118.45,3.3482
33.91,-118.36,3.8
33.83,-118.37,4.7308
38.64,-121.24,5.259
33.21,-117.25,2.066
38.93,-120.01,2.9960000000000004
38.14,-121.25,2.3
34.12,-118.1,6.3013
37.98,-122.27,6.0289
33.93,-118.2,2.5185
36.6,-121.9,2.8727
34.08,-118.29,1.925
38.69,-121.41,3.6429
32.76,-117.08,3.0833
36.52,-119.54,4.2045
37.77,-120.87,3.5959
32.86,-117.21,6.5382
33.23,-117.24,3.4359
37.88,-122.26,2.944
37.27,-121.8,5.0772
41.12,-121.47,2.83
34.07,-117.14,5.5875
34.17,-118.44,3.8081
37.8,-122.23,1.9028
37.04,-122.08,4.1161
36.32,-118.94,4.0703
37.31,-121.86,2.2259
32.61,-117.05,3.5096
37.99,-120.35,2.4191
37.82,-122.26,2.6104
34.0,-118.29,1.2347
37.56,-122.26,5.6683
33.66,-117.88,3.5426
34.16,-118.27,3.6587
32.74,-116.0,1.4338
37.6,-122.02,3.5
37.94,-122.31,3.8343
37.77,-122.2,2.4338
38.54,-121.51,3.9792
34.18,-118.15,2.3029
38.0,-121.85,4.2647
34.0,-118.06,3.9243
34.14,-118.9,5.1457
33.65,-117.9,3.4125
38.99,-120.98,3.6354
34.44,-119.78,4.835
34.05,-118.3,2.4297
34.21,-118.58,3.0187
37.49,-119.9,3.0
37.55,-122.05,5.1321
34.05,-118.38,3.238
38.54,-121.54,3.0536
37.27,-121.96,5.2533
36.06,-119.05,3.1625
34.18,-118.87,3.4676
36.72,-119.82,1.6435
33.93,-116.98,2.1581
38.47,-122.66,3.7617
35.37,-118.96,1.365
37.54,-122.29,4.9464
38.44,-120.69,4.2917
32.83,-115.57,3.5282
34.28,-118.68,5.0962
33.71,-116.38,4.5556
34.05,-117.49,3.9464
36.85,-121.79,2.7321
33.19,-117.34,5.7409
34.14,-118.13,3.4531
36.32,-119.32,4.3816
40.4,-122.23,3.0556
33.87,-117.76,7.0592
36.52,-121.69,8.0922
32.78,-116.95,3.3906
33.75,-117.95,5.1416
33.96,-117.23,5.252999999999999
33.9,-117.84,7.0352
39.8,-120.45,1.7829
38.56,-121.43,2.5417
37.86,-122.03,6.112
33.0,-116.78,5.5102
32.82,-115.37,3.5735
36.79,-119.76,3.3281
34.0,-118.46,2.3542
33.93,-117.83,6.5841
33.59,-117.65,8.0409
32.77,-117.17,3.767
37.76,-122.48,4.4094
34.05,-118.04,2.6579
33.94,-118.17,4.6389
37.96,-122.52,5.2818
37.98,-121.26,0.9782
34.56,-118.07,4.2329
34.04,-118.5,15.0001
38.49,-121.49,2.735
33.84,-118.03,4.0156
34.69,-118.14,3.4327
34.05,-118.74,7.9184
38.0,-121.86,3.5857
33.82,-117.95,4.0735
37.34,-121.96,4.4453
33.73,-116.22,2.1217
36.67,-121.65,1.9385
38.69,-120.85,3.4872
37.69,-122.48,4.4821
36.57,-119.59,3.5987
36.98,-122.0,4.3
37.78,-122.49,4.2414
33.78,-117.06,2.5847
37.76,-121.43,3.6312
37.75,-122.46,6.5372
33.77,-118.17,2.1378
37.31,-121.82,3.7102
37.31,-122.02,5.9714
34.2,-118.56,4.175
32.75,-117.03,3.0897
33.86,-117.87,3.1534
33.68,-117.7,2.8192
33.94,-118.27,1.1468
34.07,-117.62,2.5677
37.7,-122.43,4.7708
35.42,-119.04,1.8403
38.35,-122.69,7.226
37.79,-122.28,2.5444
37.39,-122.08,3.2083
39.74,-121.57,2.4623
38.54,-122.75,5.4886
34.13,-118.42,12.7823
37.39,-122.02,4.7431
33.76,-117.97,4.7464
33.02,-117.21,10.156
37.57,-122.33,3.625
34.14,-117.29,2.5417
37.73,-122.15,4.9135
38.42,-122.66,4.023
37.99,-121.84,3.3625
37.78,-122.46,3.7887
33.12,-117.09,2.5284
36.02,-119.8,3.05
34.26,-118.6,5.6392
34.1,-117.77,2.8818
32.8,-117.01,3.7159
33.88,-118.21,3.4485
38.14,-121.29,3.875
32.74,-117.13,3.6852
32.72,-117.01,2.3068
33.06,-116.93,4.8836
36.81,-119.85,3.755
33.6,-117.96,5.2333
34.03,-118.18,2.0764
39.79,-121.58,2.7863
40.28,-124.25,1.9417
34.28,-118.51,6.3911
32.58,-117.11,2.4213
35.89,-119.27,1.7572
34.08,-117.64,3.3958
32.73,-117.05,3.5529
37.54,-122.28,3.9699
33.76,-117.93,3.3710000000000004
39.13,-121.32,3.0
34.27,-118.51,4.1042
37.34,-121.79,4.9318
37.9,-122.3,2.9219
34.2,-118.32,3.9866
33.21,-117.24,2.1875
33.89,-118.34,5.372999999999999
38.32,-120.88,3.2589
33.81,-117.92,5.6047
37.1,-121.96,6.3617
37.66,-121.85,5.6399
34.05,-118.02,3.0625
33.54,-115.22,1.625
37.95,-121.26,1.725
40.91,-124.08,1.6667
34.03,-118.5,6.48
34.05,-118.2,2.0885
39.91,-122.19,1.8571
37.75,-122.16,3.8047
37.76,-122.15,6.0749
34.09,-117.4,4.4034
38.61,-121.44,1.8792
37.38,-122.02,4.0911
34.16,-118.05,3.5694
32.76,-117.12,2.4821
34.1,-118.15,3.1211
33.94,-118.11,4.4375
33.74,-117.84,3.3611
36.85,-119.79,1.9511
38.47,-122.74,3.0714
33.88,-118.12,3.0795
36.18,-119.27,2.6098
38.9,-121.52,2.9048
34.05,-117.93,4.2926
34.1,-118.37,15.0001
32.91,-117.13,3.6111
38.36,-122.01,7.1053
32.76,-117.18,3.6492
34.04,-117.94,3.8864
34.24,-117.28,5.2185
33.93,-118.26,1.4917
34.14,-117.27,4.4435
32.8,-115.57,1.875
35.13,-120.66,1.9653
39.3,-121.96,2.1845
40.59,-124.05,3.4408
34.09,-118.34,3.2946
37.48,-121.14,3.7045
34.05,-117.99,3.7917
40.45,-124.03,2.6094
38.55,-121.34,4.1447
33.98,-118.06,4.2206
33.98,-118.33,1.8472
37.41,-121.86,7.3861
33.96,-118.4,4.1852
37.99,-121.88,5.5676
37.83,-122.25,3.1484
37.98,-120.4,2.6696
33.67,-117.81,7.2025
39.07,-123.21,3.7833
34.13,-117.92,2.8643
33.97,-118.22,2.881
32.79,-117.25,1.8365
34.1,-118.32,2.2311
33.73,-116.94,3.7175
37.38,-122.08,3.3917
33.8,-118.01,5.32
37.31,-121.97,3.9187
37.88,-122.53,6.8742
34.19,-118.31,2.0875
34.44,-118.53,6.0398
37.74,-122.16,4.0417
33.97,-118.37,3.3889
32.96,-117.14,6.3721
37.57,-122.36,10.7339
33.66,-117.99,3.0625
35.24,-120.52,5.0267
37.83,-122.2,8.401
37.64,-118.97,3.0921
33.98,-118.22,2.4387
34.44,-119.8,5.0294
34.45,-119.71,5.5922
33.9,-116.81,1.3286
37.43,-121.87,6.2892
34.05,-118.35,2.8841
33.66,-116.31,3.6354
33.99,-118.42,3.725
34.08,-118.0,3.994
37.23,-121.86,5.8904
34.21,-119.18,4.3897
36.75,-119.79,1.0
37.33,-122.03,7.4863
34.07,-117.64,2.2765
33.62,-117.92,5.2416
34.17,-118.61,3.8819
33.93,-117.93,3.7933
33.99,-118.32,2.5909
33.85,-118.16,4.0815
33.73,-116.31,3.2846
39.04,-122.73,1.9833
36.81,-121.6,5.2203
37.88,-122.27,4.2813
35.26,-120.68,3.2464
37.26,-121.95,5.2
34.1,-117.74,2.6779
34.07,-118.37,4.25
33.83,-117.91,2.5509
37.48,-122.26,5.6038
33.85,-118.35,5.6426
34.09,-118.43,7.9835
33.84,-118.08,3.3438
33.87,-118.03,5.93
34.06,-117.25,3.0042
33.96,-118.35,1.2094
33.94,-118.36,3.4063
37.29,-121.91,5.6266
36.34,-119.64,1.8606
37.84,-122.28,1.6875
37.91,-122.3,2.9441
34.21,-118.41,4.0167
32.76,-117.04,3.141
34.01,-118.38,4.7612
37.35,-121.89,2.0549
35.87,-119.3,2.1434
37.94,-121.28,1.7039
32.78,-117.07,4.7143
34.12,-117.29,1.8438
35.23,-118.82,1.9688
33.12,-117.25,5.311
34.08,-118.69,9.7646
33.82,-117.81,10.8111
37.71,-122.13,3.5781
37.27,-121.99,5.4051
33.69,-117.79,6.5783
36.11,-119.59,2.25
38.55,-121.4,2.925
32.79,-115.54,1.6607
39.78,-121.59,1.4048
38.72,-121.31,3.9506
33.8,-118.17,3.5313
37.75,-122.16,2.5568
36.76,-119.77,1.5174
33.82,-118.1,4.8462
35.3,-119.09,3.6852
34.07,-117.96,4.6118
36.82,-121.64,4.1696
37.93,-121.7,4.6587
34.18,-118.97,7.0242
34.09,-118.3,1.4497
33.41,-117.6,4.5476
33.77,-118.27,1.5369
33.94,-117.97,4.0893
36.81,-119.71,2.0536
34.01,-118.4,5.4035
37.54,-122.36,10.1675
32.62,-117.09,2.4866
37.34,-122.08,10.5142
36.67,-121.63,2.5263
34.17,-118.9,5.3558
37.81,-121.31,3.1429
33.72,-118.04,4.0238
32.81,-117.29,6.9553
33.69,-116.18,2.375
37.58,-121.99,6.2073
37.25,-121.97,7.9135
33.87,-118.05,5.8855
33.6,-117.86,6.6265
34.16,-118.11,4.2065
37.99,-122.33,3.911
34.05,-117.76,2.3859
33.97,-118.1,2.9922
33.82,-117.94,3.4
38.23,-122.7,3.5673
33.9,-118.22,2.3542
37.72,-122.15,2.9097
37.71,-122.44,3.9567
34.13,-118.21,3.25
34.07,-118.32,11.2185
37.76,-122.24,3.6719
33.86,-117.94,2.1432
37.66,-120.93,4.744
33.74,-116.9,2.3712
33.96,-118.02,4.5446
38.0,-121.83,4.8359
33.73,-116.95,3.2371
34.09,-118.3,2.1927
33.04,-117.24,3.212
34.0,-118.4,4.85
39.17,-120.93,3.6563
34.13,-117.82,6.1321
36.31,-119.33,5.3909
34.28,-119.24,4.4038
36.59,-121.84,4.3269
34.02,-118.49,4.1365
37.79,-121.23,2.7734
33.95,-117.93,7.4597
34.1,-117.8,6.2456
37.93,-122.34,2.1287
33.86,-118.32,4.6563
37.64,-121.01,1.9013
39.76,-121.84,2.3155
38.77,-120.58,2.3583
40.73,-124.19,3.5363
33.48,-117.66,2.3846
34.05,-118.29,1.8571
37.99,-121.34,3.9615
32.74,-117.28,2.7515
37.38,-122.06,5.6999
33.88,-118.41,5.2533
33.51,-117.18,6.992999999999999
34.18,-118.34,3.24
34.12,-118.02,6.1536
37.36,-122.11,13.1867
36.83,-121.37,4.76
34.08,-117.71,4.2639
38.69,-121.25,4.1607
33.84,-117.87,4.5112
34.03,-118.4,6.5669
40.79,-124.16,2.2566
34.11,-117.21,3.4103
34.21,-118.52,4.3261
34.07,-118.09,2.5938
36.8,-119.78,1.8514
33.99,-117.32,4.711
34.42,-117.27,3.2077
37.89,-122.26,6.6828
37.78,-122.17,3.6875
37.69,-121.8,5.4324
37.6,-122.39,2.56
36.31,-119.77,2.6218
38.94,-121.1,1.0179
32.75,-117.19,6.1309
39.24,-120.04,2.65
34.08,-118.06,3.2569
34.2,-118.44,2.9360000000000004
38.1,-122.26,1.3007
34.04,-118.36,2.0538
36.1,-119.57,2.0595
34.09,-118.32,2.5556
38.51,-121.49,3.1768
34.03,-118.22,1.8125
38.13,-122.26,1.6368
36.92,-121.76,2.6434
34.04,-117.84,6.9754
33.75,-118.11,5.0926
38.57,-121.5,3.358
33.99,-118.4,5.9632
33.68,-117.95,5.0287
38.46,-123.07,2.3611
33.76,-118.02,4.25
32.84,-116.92,4.6674
37.8,-122.24,2.1944
37.31,-121.78,6.4664
37.48,-122.2,3.4427
33.82,-118.39,4.5817
37.69,-122.14,2.9958
34.05,-118.1,2.9130000000000003
37.28,-122.0,5.4103
37.81,-122.22,4.072
37.39,-122.0,5.791
33.84,-118.1,5.1836
34.28,-118.39,4.4818
40.19,-122.24,3.7
33.99,-118.4,5.4663
35.25,-120.68,2.2868
34.15,-117.99,3.1304
37.74,-121.42,2.825
37.73,-122.48,5.2598
33.96,-118.0,9.1541
33.79,-118.11,5.587000000000001
37.76,-122.42,1.3365
32.87,-117.21,4.1429
34.09,-118.34,2.3568
39.09,-121.07,2.8864
33.82,-118.36,3.3565
37.95,-121.26,2.1583
40.16,-123.82,1.2227
37.33,-122.02,7.3693
33.68,-117.93,5.069
32.63,-117.17,3.5357
34.17,-118.37,2.4107
34.15,-118.05,8.2004
33.8,-118.35,4.875
37.91,-121.6,5.1017
36.88,-121.96,4.7468
33.76,-118.13,4.5469
37.31,-121.91,4.7287
34.1,-117.3,1.775
37.83,-122.25,2.4234
37.73,-122.49,3.9219
33.91,-118.17,3.1087
33.93,-117.49,3.9522
38.55,-121.47,1.1458
39.79,-121.59,1.625
38.48,-122.66,3.267
33.91,-117.9,3.5403
36.97,-119.85,4.475
33.81,-118.37,6.9296
35.4,-120.86,2.7043
38.02,-121.33,4.3008
32.82,-117.08,7.1298
34.21,-118.44,2.875
33.95,-118.3,2.2031
39.21,-122.01,2.4559
34.21,-118.37,3.1563
33.66,-118.0,4.2289
34.45,-119.82,6.7247
37.6,-120.87,2.6619
37.45,-122.17,5.1995
32.78,-117.17,2.2768
36.18,-120.43,2.1458
33.89,-118.2,2.7212
37.3,-121.96,4.0403
33.08,-117.08,4.9844
37.32,-121.96,3.73
37.61,-122.08,3.7931
34.64,-120.45,3.8512
37.87,-122.13,10.3713
33.98,-117.37,1.1194
35.62,-119.69,2.1186
37.78,-122.44,2.151
33.75,-117.99,3.3125
34.95,-120.45,2.375
34.28,-119.27,4.125
32.76,-117.11,1.9799
34.06,-118.42,6.1527
33.85,-117.9,4.325
33.87,-117.86,5.1784
37.76,-122.42,1.65
37.22,-121.78,5.0958
32.61,-117.05,3.2633
37.34,-121.9,2.619
33.83,-117.76,6.4415
37.35,-121.9,3.25
38.81,-120.84,3.1635
34.35,-119.32,2.475
37.31,-121.9,5.8186
33.87,-117.96,3.7222
37.25,-121.81,2.0288
39.82,-120.74,3.9583
32.66,-117.06,3.5066
33.82,-118.02,3.7885
34.18,-118.44,2.2461
34.22,-118.58,5.6345
33.96,-118.1,4.1711
38.35,-122.72,2.4117
32.85,-117.0,5.282
33.88,-118.37,4.4828
37.79,-122.43,5.0049
33.19,-117.37,1.9562
33.51,-117.67,3.4792
34.23,-118.46,2.7121
34.44,-117.31,3.6007
38.04,-121.9,1.2024
34.13,-117.27,2.9628
33.88,-117.87,3.3036
38.58,-121.35,8.6572
38.62,-122.86,2.7432
37.79,-122.24,2.3173
38.52,-121.45,2.5592
33.91,-118.26,2.8859
